tag,step,wall_time,value
rollout/ep_len_mean,32768,1786499480.754967,415.2153931
rollout/ep_len_mean,65536,1786499485.758742,523.75
rollout/ep_len_mean,98304,1786499490.697981,523.8300171
rollout/ep_len_mean,131072,1786499495.669117,481.5400085
rollout/ep_len_mean,163840,1786499500.593664,468.25
rollout/ep_len_mean,196608,1786499505.586142,421.1300049
rollout/ep_len_mean,229376,1786499510.524575,439.5
rollout/ep_len_mean,262144,1786499515.534856,426.5400085
rollout/ep_len_mean,294912,1786499520.528716,543.9400024
rollout/ep_len_mean,327680,1786499525.477563,558.1199951
rollout/ep_len_mean,360448,1786499530.425944,518.2999878
rollout/ep_len_mean,393216,1786499535.383702,499.1099854
rollout/ep_len_mean,425984,1786499540.359315,497.1099854
rollout/ep_len_mean,458752,1786499545.324350,596.8800049
rollout/ep_len_mean,491520,1786499550.319739,557.789978
rollout/ep_len_mean,524288,1786499555.325388,497.3599854
rollout/ep_len_mean,557056,1786499560.285994,474.3900146
rollout/ep_len_mean,589824,1786499565.264004,498.4899902
rollout/ep_len_mean,622592,1786499570.213322,607.0200195
rollout/ep_len_mean,655360,1786499575.185607,551.3499756
rollout/ep_len_mean,688128,1786499580.118032,497.9200134
rollout/ep_len_mean,720896,1786499585.092473,519.5700073
rollout/ep_len_mean,753664,1786499590.008861,501.519989
rollout/ep_len_mean,786432,1786499594.963510,539.8900146
rollout/ep_len_mean,819200,1786499599.910378,590
rollout/ep_len_mean,851968,1786499604.878924,521.5
rollout/ep_len_mean,884736,1786499609.792879,510.2399902
rollout/ep_len_mean,917504,1786499614.747654,513.5300293
rollout/ep_len_mean,950272,1786499619.687355,493.7900085
rollout/ep_len_mean,983040,1786499624.657620,511.7600098
rollout/ep_len_mean,1015808,1786499629.627290,549.9899902
rollout/ep_len_mean,1048576,1786499634.577694,550.8400269
rollout/ep_len_mean,1081344,1786499639.486793,472.6499939
rollout/ep_len_mean,1114112,1786499644.425486,509.1300049
rollout/ep_len_mean,1146880,1786499649.369989,538.7199707
rollout/ep_len_mean,1179648,1786499654.355044,540.789978
rollout/ep_len_mean,1212416,1786499659.288301,478.0799866
rollout/ep_len_mean,1245184,1786499664.444569,488.9700012
rollout/ep_len_mean,1277952,1786499669.544690,548.2199707
rollout/ep_len_mean,1310720,1786499674.707783,484
rollout/ep_len_mean,1343488,1786499679.841821,559.6500244
rollout/ep_len_mean,1376256,1786499684.963886,629.1599731
rollout/ep_len_mean,1409024,1786499689.915278,650.0599976
rollout/ep_len_mean,1441792,1786499694.893071,573.4899902
rollout/ep_len_mean,1474560,1786499699.840752,505.5
rollout/ep_len_mean,1507328,1786499704.815853,546.0499878
rollout/ep_len_mean,1540096,1786499709.770973,541.789978
rollout/ep_len_mean,1572864,1786499714.744832,592.2000122
rollout/ep_len_mean,1605632,1786499719.705075,638.2199707
rollout/ep_len_mean,1638400,1786499724.682445,557.7299805
rollout/ep_len_mean,1671168,1786499729.611585,576.8900146
rollout/ep_len_mean,1703936,1786499734.585084,594.6400146
rollout/ep_len_mean,1736704,1786499739.527312,583.1300049
rollout/ep_len_mean,1769472,1786499744.523468,603.2299805
rollout/ep_len_mean,1802240,1786499749.486562,637.0900269
rollout/ep_len_mean,1835008,1786499754.451644,620.6300049
rollout/ep_len_mean,1867776,1786499759.401799,572.1199951
rollout/ep_len_mean,1900544,1786499764.414571,591.210022
rollout/ep_len_mean,1933312,1786499769.359136,581.7299805
rollout/ep_len_mean,1966080,1786499774.329325,557.6900024
rollout/ep_len_mean,1998848,1786499779.260565,593.5599976
rollout/ep_len_mean,2031616,1786499784.255033,633.789978
rollout/ep_len_mean,2064384,1786499789.205367,638.3099976
rollout/ep_len_mean,2097152,1786499794.220303,618.289978
rollout/ep_len_mean,2129920,1786499799.163614,611.8400269
rollout/ep_len_mean,2162688,1786499804.142235,623.1099854
rollout/ep_len_mean,2195456,1786499809.091571,625.8200073
rollout/ep_len_mean,2228224,1786499814.084894,643.75
rollout/ep_len_mean,2260992,1786499819.032247,656.5599976
rollout/ep_len_mean,2293760,1786499824.015758,627.4000244
rollout/ep_len_mean,2326528,1786499828.953292,616.7199707
rollout/ep_len_mean,2359296,1786499833.927249,622.0499878
rollout/ep_len_mean,2392064,1786499838.874348,577.0599976
rollout/ep_len_mean,2424832,1786499843.853106,619.8499756
rollout/ep_len_mean,2457600,1786499848.820253,634.3499756
rollout/ep_len_mean,2490368,1786499853.829076,629.8300171
rollout/ep_len_mean,2523136,1786499858.799432,721.0300293
rollout/ep_len_mean,2555904,1786499863.786084,678.6199951
rollout/ep_len_mean,2588672,1786499868.735480,621.8499756
rollout/ep_len_mean,2621440,1786499873.704339,645.4799805
rollout/ep_len_mean,2654208,1786499878.651667,692.539978
rollout/ep_len_mean,2686976,1786499883.646761,653.3800049
rollout/ep_len_mean,2719744,1786499888.587230,667.0100098
rollout/ep_len_mean,2752512,1786499893.567769,703.3499756
rollout/ep_len_mean,2785280,1786499898.502282,691.210022
rollout/ep_len_mean,2818048,1786499903.505784,706.8800049
rollout/ep_len_mean,2850816,1786499908.445937,750.0100098
rollout/ep_len_mean,2883584,1786499913.466487,763.8499756
rollout/ep_len_mean,2916352,1786499918.403784,711.6900024
rollout/ep_len_mean,2949120,1786499923.378915,687.5999756
rollout/ep_len_mean,2981888,1786499928.337639,675.5300293
rollout/ep_len_mean,3014656,1786499933.321796,641.9699707
rollout/ep_len_mean,3047424,1786499938.300390,694.4199829
rollout/ep_len_mean,3080192,1786499943.284326,748.8300171
rollout/ep_len_mean,3112960,1786499948.291152,766.8599854
rollout/ep_len_mean,3145728,1786499953.311863,795.5100098
rollout/ep_len_mean,3178496,1786499958.281546,790.1599731
rollout/ep_len_mean,3211264,1786499963.283970,748.8900146
rollout/ep_len_mean,3244032,1786499968.266657,727.2199707
rollout/ep_len_mean,3276800,1786499973.308629,726.7800293
rollout/ep_len_mean,3309568,1786499978.253925,725.7399902
rollout/ep_len_mean,3342336,1786499983.391531,753.2600098
rollout/ep_len_mean,3375104,1786499988.426687,749.8599854
