checkpoint_steps,command_vx,mean_actual_vx,mae,rmse,resets
1000000,0.2,0.1236222390682266,0.08821044684610793,0.10743042218898927,0
1000000,0.4,0.20195680028869592,0.19992397061784978,0.22318715383621204,1
1000000,0.6,0.2591493636141529,0.34085063638584706,0.36405600355350126,5
2000000,0.2,0.15229678238504585,0.065053708894789,0.07921730732144869,0
2000000,0.4,0.26447084522948466,0.13576210599820157,0.15011991795042634,0
2000000,0.6,0.29008397260878466,0.3099160273912154,0.320275840882599,0
3000000,0.2,0.16995402680709937,0.049582029881544414,0.0630346772166075,0
3000000,0.4,0.3021689414606816,0.09914742589481766,0.1113601980539783,0
3000000,0.6,0.38400088945590743,0.2159991105440925,0.2243968281585484,0
4000000,0.2,0.2043482905710287,0.05424267159273013,0.06726807523220897,0
4000000,0.4,0.3494087992998608,0.06875461998022156,0.08702762158301727,0
4000000,0.6,0.49620647464941636,0.10701510741840387,0.12289214418207792,0
5000000,0.2,0.2124296130095848,0.06270444449138603,0.07550301168746891,0
5000000,0.4,0.38087428747468655,0.06343254911801019,0.07899313333666011,0
5000000,0.6,0.5133069997655668,0.0921974900007297,0.11170451403387037,0
6000000,0.2,0.21930802799465157,0.05856979236140945,0.07150995054764976,0
6000000,0.4,0.39988267089972673,0.04633826176864811,0.05770014672629988,0
6000000,0.6,0.5413536867619678,0.07304126297092788,0.09353554326957887,0
7000000,0.2,0.20413608835978095,0.045095042386409476,0.05648831188360744,0
7000000,0.4,0.3980804950451537,0.046346184470002265,0.05711624613696581,0
7000000,0.6,0.56560136832154,0.052822146452422954,0.06629298621396049,0
8000000,0.2,0.2021937895387593,0.042961799019094936,0.05339998442422806,0
8000000,0.4,0.38949382294168655,0.045675705264330214,0.058134167961149494,0
8000000,0.6,0.5644868336723158,0.055302529631087324,0.06803327155975449,0
