checkpoint_steps,command_vx,mean_actual_vx,mae,rmse,resets
1000000,0.2,-0.002318274139051279,0.2023182741390513,0.20408219521381657,0
1000000,0.4,0.0020446254561328355,0.3979553745438672,0.39839902003100475,0
1000000,0.6,0.11331817482573478,0.48668182517426517,0.5019258214739093,5
2000000,0.2,0.005621755969240293,0.1943782440307597,0.20678951575677035,0
2000000,0.4,0.19999945882588666,0.22341240026122752,0.2532822819488284,8
2000000,0.6,0.28047011234282415,0.32848357747080414,0.3905708106790462,13
3000000,0.2,0.10090109556345289,0.10552587595399664,0.12773960985517716,0
3000000,0.4,0.25463437471575245,0.16519747848729077,0.19343302041769972,3
3000000,0.6,0.3157911034422896,0.30031706055304375,0.38958480963874553,16
4000000,0.2,0.08985540957953242,0.11817415891725441,0.1468317789844216,0
4000000,0.4,0.2191675695518202,0.1814706321274269,0.1962773762768307,0
4000000,0.6,0.3292225617347079,0.2770187885921569,0.3272306255134502,6
5000000,0.2,0.1868669203491206,0.08566214559672451,0.1046886899793242,0
5000000,0.4,0.2799083477776918,0.13059777790546356,0.1556809619817863,0
5000000,0.6,0.32379364143804074,0.27620635856195924,0.2909859272881164,0
6000000,0.2,0.21547682402889715,0.07523251486478093,0.09567823331057214,0
6000000,0.4,0.2618010965197941,0.1444064361797833,0.16886690368337254,0
6000000,0.6,0.22719104136352794,0.37280895863647207,0.3820158498315763,0
7000000,0.2,0.2978894419842163,0.1103788881244535,0.12981569786026367,0
7000000,0.4,0.2830538941572549,0.11934356188963907,0.1384132890027124,0
7000000,0.6,0.2931920428839574,0.3068079571160426,0.31218794411755607,0
8000000,0.2,0.3734418373155828,0.17453608161899312,0.19302702654636367,0
8000000,0.4,0.35243484413303544,0.06891540186215302,0.08724927733384916,0
8000000,0.6,0.3564652285662724,0.2435347714337275,0.25297337615875337,0
9000000,0.2,0.36311640257192723,0.16348034764448777,0.17722955658179781,0
9000000,0.4,0.39454478503945756,0.059679068236057044,0.07537898911182696,0
9000000,0.6,0.3707009475580525,0.2292990524419475,0.24088702675352197,0
10000000,0.2,0.37516184540791253,0.17881301532058855,0.199386661374515,0
10000000,0.4,0.4465309604510974,0.06689114667833931,0.0802686996204168,0
10000000,0.6,0.4301874986955108,0.1700035459372588,0.17968022831507435,0
11000000,0.2,0.3786563810773738,0.18022668798093405,0.2000897733857595,0
11000000,0.4,0.41781134570957096,0.05575943637305938,0.06898237359468327,0
11000000,0.6,0.4409128174621563,0.15921360961622757,0.17268283033925727,0
12000000,0.2,0.367126531084169,0.1707193440638073,0.1900547717284695,0
12000000,0.4,0.4621383560253696,0.0823069731200381,0.09883729295227055,0
12000000,0.6,0.4932651982079549,0.11469707888040355,0.13322846850832162,0
13000000,0.2,0.2770903814660621,0.10269975438721533,0.1251858705703219,0
13000000,0.4,0.39314969646236575,0.06618428596697849,0.08160487431016467,0
13000000,0.6,0.5128213968228338,0.09432408070307263,0.11332415918841196,0
14000000,0.2,0.32581561242309665,0.13307116626654705,0.15239441377970928,0
14000000,0.4,0.46254172891941364,0.08663802721302295,0.10640112708919135,0
14000000,0.6,0.40783457785916993,0.28350239046664283,0.37852621573431317,17
15000000,0.2,0.3959072790119647,0.19701098344426798,0.21861391780569125,0
15000000,0.4,0.482645768824991,0.09391877769685655,0.11232979319036432,0
15000000,0.6,0.5367854947820033,0.07422926935991632,0.09734318982509645,0
16000000,0.2,0.35451196033579324,0.15795561502932728,0.17778874049710286,0
16000000,0.4,0.45166411006164986,0.0842436861146954,0.1007481408468857,0
16000000,0.6,0.4554121070509474,0.1449410559524869,0.16533182441397742,0
17000000,0.2,0.3552813220705227,0.15671710629961325,0.17569461808047232,0
17000000,0.4,0.46874225006427994,0.0941201186189757,0.11404915853434981,0
17000000,0.6,0.48583650838661924,0.11565883593904117,0.13659684174374934,0
18000000,0.2,0.31669919509125904,0.12364942062043505,0.14655075158837605,0
18000000,0.4,0.5295436979230307,0.1557198484701762,0.1803731669891948,1
18000000,0.6,0.5307507425728732,0.0922337195451606,0.12084562082368526,0
19000000,0.2,0.22784567126016425,0.07712695949301483,0.09711291569758475,0
19000000,0.4,0.4650950263981331,0.10139504695176668,0.1198682863335042,0
19000000,0.6,0.5503755628901948,0.07669060743725818,0.10261246695847219,0
20000000,0.2,0.28077872738943566,0.09527075059139242,0.11530538835608779,0
20000000,0.4,0.4966378146826924,0.10876111688430126,0.131546380920224,0
20000000,0.6,0.5436371722781239,0.0830453196982765,0.10423886292214274,0
