tag,step,wall_time,value
rollout/ep_len_mean,3112960,1783857514.279308,512.6699829
rollout/ep_len_mean,3145728,1783857519.080605,596.1900024
rollout/ep_len_mean,3178496,1783857523.837711,661.3300171
rollout/ep_len_mean,3211264,1783857528.596651,638.960022
rollout/ep_len_mean,3244032,1783857533.211186,613.3499756
rollout/ep_len_mean,3276800,1783857538.113589,521.7700195
rollout/ep_len_mean,3309568,1783857542.998483,556.5800171
rollout/ep_len_mean,3342336,1783857547.769300,617.039978
rollout/ep_len_mean,3375104,1783857552.341321,545.8800049
rollout/ep_len_mean,3407872,1783857557.043385,489.0700073
rollout/ep_len_mean,3440640,1783857561.987486,588.460022
rollout/ep_len_mean,3473408,1783857566.719288,573.8300171
rollout/ep_len_mean,3506176,1783857571.450889,590.4299927
rollout/ep_len_mean,3538944,1783857576.311544,585.460022
rollout/ep_len_mean,3571712,1783857581.050494,522.0499878
rollout/ep_len_mean,3604480,1783857585.763792,518.5100098
rollout/ep_len_mean,3637248,1783857590.334916,597.1099854
rollout/ep_len_mean,3670016,1783857594.897817,593.210022
rollout/ep_len_mean,3702784,1783857599.544886,557.4099731
rollout/ep_len_mean,3735552,1783857604.191834,577.8300171
rollout/ep_len_mean,3768320,1783857608.797181,552.5100098
rollout/ep_len_mean,3801088,1783857613.383707,538.0100098
rollout/ep_len_mean,3833856,1783857618.062093,548.7399902
rollout/ep_len_mean,3866624,1783857622.966761,606.9799805
rollout/ep_len_mean,3899392,1783857627.927120,558.3099976
rollout/ep_len_mean,3932160,1783857632.685237,622.5499878
rollout/ep_len_mean,3964928,1783857637.356953,623.789978
rollout/ep_len_mean,3997696,1783857641.802433,515.5300293
rollout/ep_len_mean,4030464,1783857646.296637,599.9799805
rollout/ep_len_mean,4063232,1783857651.090940,616.6900024
rollout/ep_len_mean,4096000,1783857655.726305,671.289978
rollout/ep_len_mean,4128768,1783857660.462165,710.6099854
rollout/ep_len_mean,4161536,1783857665.453867,647.2600098
rollout/ep_len_mean,4194304,1783857670.410390,647.0999756
rollout/ep_len_mean,4227072,1783857675.171135,640.0200195
rollout/ep_len_mean,4259840,1783857679.966346,644.2600098
rollout/ep_len_mean,4292608,1783857684.746986,661.2800293
rollout/ep_len_mean,4325376,1783857689.502072,657.75
rollout/ep_len_mean,4358144,1783857694.252098,644.9500122
rollout/ep_len_mean,4390912,1783857699.013693,555.8599854
rollout/ep_len_mean,4423680,1783857703.767365,584.7800293
rollout/ep_len_mean,4456448,1783857708.508099,721.8800049
rollout/ep_len_mean,4489216,1783857713.231965,722.4799805
rollout/ep_len_mean,4521984,1783857718.049304,558.1900024
rollout/ep_len_mean,4554752,1783857722.906091,561.5100098
rollout/ep_len_mean,4587520,1783857727.678500,584.8300171
rollout/ep_len_mean,4620288,1783857732.427035,642.0599976
rollout/ep_len_mean,4653056,1783857737.169077,636.7000122
rollout/ep_len_mean,4685824,1783857742.002437,585.8900146
rollout/ep_len_mean,4718592,1783857746.981154,604.4199829
rollout/ep_len_mean,4751360,1783857751.951395,659.9299927
rollout/ep_len_mean,4784128,1783857756.860220,677.6699829
rollout/ep_len_mean,4816896,1783857761.942047,641.75
rollout/ep_len_mean,4849664,1783857766.833240,532.7299805
rollout/ep_len_mean,4882432,1783857771.754915,602.8699951
rollout/ep_len_mean,4915200,1783857776.863503,618.1799927
rollout/ep_len_mean,4947968,1783857781.837940,526.8499756
rollout/ep_len_mean,4980736,1783857786.774844,499.3900146
rollout/ep_len_mean,5013504,1783857791.769267,601.8800049
rollout/ep_len_mean,5046272,1783857796.673172,687.7800293
rollout/ep_len_mean,5079040,1783857801.350682,643.2999878
rollout/ep_len_mean,5111808,1783857806.140552,630.539978
rollout/ep_len_mean,5144576,1783857811.010201,629.25
rollout/ep_len_mean,5177344,1783857815.885496,646.3599854
rollout/ep_len_mean,5210112,1783857820.663347,663.4199829
rollout/ep_len_mean,5242880,1783857825.649935,650.7700195
rollout/ep_len_mean,5275648,1783857830.538866,588.4899902
rollout/ep_len_mean,5308416,1783857835.301201,582.1500244
rollout/ep_len_mean,5341184,1783857839.945180,674.3599854
rollout/ep_len_mean,5373952,1783857844.384504,736.1400146
rollout/ep_len_mean,5406720,1783857848.821486,697.9099731
rollout/ep_len_mean,5439488,1783857853.254345,679.6199951
rollout/ep_len_mean,5472256,1783857857.718023,678.5499878
rollout/ep_len_mean,5505024,1783857862.181729,684.2600098
rollout/ep_len_mean,5537792,1783857866.630869,684.1699829
rollout/ep_len_mean,5570560,1783857871.068769,666.4299927
rollout/ep_len_mean,5603328,1783857875.537263,669.3200073
rollout/ep_len_mean,5636096,1783857879.977440,718.1099854
rollout/ep_len_mean,5668864,1783857884.576527,753.5999756
rollout/ep_len_mean,5701632,1783857889.404974,701.710022
rollout/ep_len_mean,5734400,1783857894.014405,647.7800293
rollout/ep_len_mean,5767168,1783857898.650254,661.6199951
rollout/ep_len_mean,5799936,1783857903.315288,666.1599731
rollout/ep_len_mean,5832704,1783857908.037046,687.6900024
rollout/ep_len_mean,5865472,1783857912.703976,674.8400269
rollout/ep_len_mean,5898240,1783857917.389931,686.289978
rollout/ep_len_mean,5931008,1783857922.020684,697.0599976
rollout/ep_len_mean,5963776,1783857926.689491,681.5599976
rollout/ep_len_mean,5996544,1783857931.424500,595.4799805
rollout/ep_len_mean,6029312,1783857936.226247,634.2999878
rollout/ep_len_mean,6062080,1783857940.894379,737.2800293
rollout/ep_len_mean,6094848,1783857945.520183,743.0800171
rollout/ep_len_mean,6127616,1783857950.219081,684.6099854
rollout/ep_len_mean,6160384,1783857955.005429,674.539978
rollout/ep_len_mean,6193152,1783857959.800689,668.1500244
rollout/ep_len_mean,6225920,1783857965.482432,694.9299927
rollout/ep_len_mean,6258688,1783857970.247745,687.8200073
rollout/ep_len_mean,6291456,1783857974.849960,673.1099854
rollout/ep_len_mean,6324224,1783857979.429667,615.9799805
rollout/ep_len_mean,6356992,1783857984.019469,588.2800293
rollout/ep_len_mean,6389760,1783857988.716653,653.3099976
rollout/ep_len_mean,6422528,1783857993.454692,689.7600098
rollout/ep_len_mean,6455296,1783857998.186100,675.6799927
rollout/ep_len_mean,6488064,1783858002.775316,618.8200073
rollout/ep_len_mean,6520832,1783858007.587896,627.9000244
rollout/ep_len_mean,6553600,1783858012.275958,688.25
rollout/ep_len_mean,6586368,1783858017.021078,687.75
rollout/ep_len_mean,6619136,1783858022.214006,667.3599854
rollout/ep_len_mean,6651904,1783858026.940191,680.8099976
rollout/ep_len_mean,6684672,1783858031.777930,651.1199951
rollout/ep_len_mean,6717440,1783858036.658168,611.6400146
rollout/ep_len_mean,6750208,1783858041.144165,675.210022
rollout/ep_len_mean,6782976,1783858045.625944,708.8099976
rollout/ep_len_mean,6815744,1783858050.110770,694.5800171
rollout/ep_len_mean,6848512,1783858054.547111,693.1400146
rollout/ep_len_mean,6881280,1783858059.075913,680.5999756
rollout/ep_len_mean,6914048,1783858063.569188,668.5100098
rollout/ep_len_mean,6946816,1783858068.135753,656.1500244
rollout/ep_len_mean,6979584,1783858072.781798,677.7700195
rollout/ep_len_mean,7012352,1783858077.337423,752.3400269
rollout/ep_len_mean,7045120,1783858081.967925,716.5300293
rollout/ep_len_mean,7077888,1783858086.553127,660.2600098
rollout/ep_len_mean,7110656,1783858091.244847,655.0900269
rollout/ep_len_mean,7143424,1783858095.902912,709.75
rollout/ep_len_mean,7176192,1783858100.534945,724.3200073
rollout/ep_len_mean,7208960,1783858105.189707,693.8900146
rollout/ep_len_mean,7241728,1783858109.879286,633.3900146
rollout/ep_len_mean,7274496,1783858114.723251,678.3499756
rollout/ep_len_mean,7307264,1783858119.400869,694.2299805
rollout/ep_len_mean,7340032,1783858124.062482,696.0900269
rollout/ep_len_mean,7372800,1783858128.909793,694.4199829
rollout/ep_len_mean,7405568,1783858133.577017,696.5
rollout/ep_len_mean,7438336,1783858138.260366,654.6500244
rollout/ep_len_mean,7471104,1783858142.869945,639.7999878
rollout/ep_len_mean,7503872,1783858147.497324,666.1400146
rollout/ep_len_mean,7536640,1783858152.116516,624.3699951
rollout/ep_len_mean,7569408,1783858156.700908,659.0599976
rollout/ep_len_mean,7602176,1783858161.276891,691.210022
rollout/ep_len_mean,7634944,1783858165.941309,736.7199707
rollout/ep_len_mean,7667712,1783858170.544432,781.9699707
rollout/ep_len_mean,7700480,1783858175.146159,739.9799805
rollout/ep_len_mean,7733248,1783858179.785979,720.5100098
rollout/ep_len_mean,7766016,1783858184.591805,720.0100098
rollout/ep_len_mean,7798784,1783858189.381891,667.1400146
rollout/ep_len_mean,7831552,1783858194.176562,685.3699951
rollout/ep_len_mean,7864320,1783858199.157157,749.789978
rollout/ep_len_mean,7897088,1783858204.019975,672.5100098
rollout/ep_len_mean,7929856,1783858209.553670,659.9799805
rollout/ep_len_mean,7962624,1783858214.504037,676.7199707
rollout/ep_len_mean,7995392,1783858219.321068,701.6900024
rollout/ep_len_mean,8028160,1783858224.278009,681.4899902
rollout/ep_len_mean,8060928,1783858229.404394,587.6699829
rollout/ep_len_mean,8093696,1783858234.172622,624.8400269
rollout/ep_len_mean,8126464,1783858239.283570,665.3599854
rollout/ep_len_mean,8159232,1783858244.108263,671.2299805
rollout/ep_len_mean,8192000,1783858248.924719,694.4400024
rollout/ep_len_mean,8224768,1783858253.759530,743.4500122
rollout/ep_len_mean,8257536,1783858258.822696,767.8800049
rollout/ep_len_mean,8290304,1783858263.787225,699.7700195
rollout/ep_len_mean,8323072,1783858268.653562,692.2800293
rollout/ep_len_mean,8355840,1783858273.479493,758.2399902
rollout/ep_len_mean,8388608,1783858278.291455,705.6900024
rollout/ep_len_mean,8421376,1783858283.127049,770.0999756
rollout/ep_len_mean,8454144,1783858287.889684,783.25
rollout/ep_len_mean,8486912,1783858292.645968,753.0200195
rollout/ep_len_mean,8519680,1783858297.598578,694.8400269
rollout/ep_len_mean,8552448,1783858302.427439,714.3599854
rollout/ep_len_mean,8585216,1783858307.277128,747.2999878
rollout/ep_len_mean,8617984,1783858312.429407,782.8400269
rollout/ep_len_mean,8650752,1783858317.554985,769.5499878
rollout/ep_len_mean,8683520,1783858322.547064,709.039978
rollout/ep_len_mean,8716288,1783858327.455129,634.5100098
rollout/ep_len_mean,8749056,1783858332.354574,676.1300049
rollout/ep_len_mean,8781824,1783858337.212252,638.2000122
rollout/ep_len_mean,8814592,1783858342.083657,733.1500244
rollout/ep_len_mean,8847360,1783858346.964575,789.2700195
rollout/ep_len_mean,8880128,1783858351.840776,747.3099976
rollout/ep_len_mean,8912896,1783858356.831302,725.4400024
rollout/ep_len_mean,8945664,1783858361.764870,777.2600098
rollout/ep_len_mean,8978432,1783858366.599350,774.6699829
rollout/ep_len_mean,9011200,1783858371.564808,694.7399902
rollout/ep_len_mean,9043968,1783858376.475349,681.7199707
rollout/ep_len_mean,9076736,1783858381.320341,709.3599854
rollout/ep_len_mean,9109504,1783858386.263690,731.5999756
rollout/ep_len_mean,9142272,1783858391.246177,706.6900024
rollout/ep_len_mean,9175040,1783858395.920681,652.5900269
rollout/ep_len_mean,9207808,1783858400.597194,641.9400024
