time_s,command_vx,command_vy,command_wz,actual_vx,actual_vy,actual_wz,base_z,reward,terminated,episode
0.0,0.0,0.0,0.0,0.022462496284761817,-0.0025222087395828097,-0.1858318681504241,0.2776099373097961,0.041864861437738085,0,0
0.02,0.0,0.0,0.0,-0.07203441544285101,-0.01874263974829193,0.08340951481224576,0.2716376033852597,0.04282284373256302,0,0
0.04,0.0,0.0,0.0,0.04896811038707938,-0.00030501767119316825,0.14726273816607008,0.2608084640934478,0.04159766414815993,0,0
0.06,0.0,0.0,0.0,0.026012071993624774,-0.007919304572466208,-0.20432578434512624,0.24573450608521055,0.041221540066346554,0,0
0.08,0.0,0.0,0.0,0.013384375235558849,0.0970613052588588,0.2574761900619561,0.22731177964385108,0.036938421048466986,0,0
0.1,0.0,0.0,0.0,-0.05254730545113555,0.08302398707779987,-0.015946921535472062,0.2056065562462923,0.04057006382620713,0,0
0.12,0.0,0.0,0.0,-0.10227007700377654,0.08057846062984084,-0.23845036888821888,0.1809514057041249,0.03833163263768837,0,0
0.14,0.0,0.0,0.0,-0.04386929038846712,-0.06556922945981732,-0.28941189344910073,0.1574702594555962,0.03742883609929142,0,0
0.16,0.0,0.0,0.0,0.06716855948286482,-0.16189354230174052,-0.13798160652651215,0.15090316062550957,0.037152611952836576,0,0
0.18,0.0,0.0,0.0,0.13821504206781646,-0.14463636477502217,-0.23575328925978423,0.15499165483802058,0.03747075211001856,0,0
0.2,0.0,0.0,0.0,0.15154901306542648,-0.14789292295978843,1.3360522781981339,0.15916659168161196,0.02255617811642483,0,0
0.22,0.0,0.0,0.0,0.0854156176793646,-0.08929555515961254,0.5694849726088338,0.16090672004296408,0.028908279836314714,0,0
0.24,0.0,0.0,0.0,0.10414808066963932,-0.04337903100469181,-1.3697773192021385,0.16135798546349933,0.024016380536916397,0,0
0.26,0.0,0.0,0.0,0.023274165829967917,-0.054164037386720015,-0.6882654476710678,0.16332598214005467,0.02813713771144405,0,0
0.28,0.0,0.0,0.0,0.11425042975642351,-0.0666361422200292,-0.43825753117028465,0.16589349480512935,0.030163253125859026,0,0
0.3,0.0,0.0,0.0,0.04741370240781663,-0.05311843325525709,0.17685046650128897,0.16734997652200762,0.04103879916008362,0,0
0.32,0.0,0.0,0.0,0.16526291848585847,-0.08663091390166085,-0.5310892146048167,0.16569939842612055,0.026395179156935136,0,0
0.34,0.0,0.0,0.0,0.07440331677734974,-0.09167479248380307,0.30500376619850056,0.16268387681921093,0.03484361644069388,0,0
0.36,0.0,0.0,0.0,-0.0012525638311415227,-0.09755542096501221,-0.8017703977751798,0.1584349561253769,0.027742275008420993,0,0
0.38,0.0,0.0,0.0,-0.08631230293776222,-0.09328716215364184,0.178013858358935,0.15845314889375967,0.03923276729835197,0,0
0.4,0.0,0.0,0.0,-0.10683171550657704,-0.09751767702531157,0.1689475643431527,0.1623428497166067,0.039108237770801496,0,0
0.42,0.0,0.0,0.0,-0.016650955213404192,-0.08843983894403382,-0.002496490076547099,0.16509387082981786,0.04328124370599582,0,0
0.44,0.0,0.0,0.0,0.020973105689220544,-0.06804982348541018,0.9088754286200832,0.1670935468409573,0.026302270551041975,0,0
0.46,0.0,0.0,0.0,-0.06824659432062966,0.014032468639026383,-0.09877482572761605,0.1678881447394066,0.04126927940227475,0,0
0.48,0.0,0.0,0.0,-0.03453470926633321,0.015012803782177248,-0.5109871808406171,0.1668861837639341,0.03300273754986035,0,0
0.5,0.0,0.0,0.0,-0.04714135032442575,-0.0933295762144275,-0.5393164548790991,0.16382485301290037,0.03071588047568187,0,0
0.52,0.0,0.0,0.0,-0.04381998095810194,-0.05841655914030703,0.7165764545217976,0.16193325202161354,0.02907491643313262,0,0
0.54,0.0,0.0,0.0,0.06118122787410307,-0.0312988247906382,-0.34908136273699586,0.1614682187653336,0.03678486117204582,0,0
0.56,0.0,0.0,0.0,0.05704107989129634,-0.040679415756905125,0.1811699727484961,0.16070853420250206,0.03974604246970461,0,0
0.58,0.0,0.0,0.0,-0.003936528118420749,-0.014329443735856224,-0.5440043248828283,0.15733817470230319,0.032465695696616274,0,0
0.6,0.0,0.0,0.0,-0.01309139662559069,-0.03955938842996924,0.10146177020724395,0.15558984770457904,0.04236883928560274,0,0
0.62,0.0,0.0,0.0,-0.06303548645082677,0.010812830787934498,-0.3676227022189694,0.16018440803826253,0.033826460866331585,0,0
0.64,0.0,0.0,0.0,0.014601701582466804,-0.025842843486285835,-0.09570228584516824,0.16467021877058177,0.04099572369094563,0,0
0.66,0.0,0.0,0.0,-0.05070781159158169,-0.023953191802973218,0.3252181079389303,0.16697500613076383,0.03816201503234593,0,0
0.68,0.0,0.0,0.0,0.06629582641462407,-0.06091624377215402,0.184673393959946,0.16605056767450152,0.039075159335758024,0,0
0.7000000000000001,0.0,0.0,0.0,-0.018141092906544726,-0.02033275164063906,0.13968886757630786,0.1637062669129104,0.03937092548335432,0,0
0.72,0.0,0.0,0.0,-0.09102411831331063,-0.024564028698433257,-0.34863043191405774,0.15962934356895703,0.03679444051592261,0,0
0.74,0.0,0.0,0.0,-0.14923425655853076,-0.03301981082662168,-0.038746988214030866,0.15924000845194314,0.04008187026945947,0,0
0.76,0.0,0.0,0.0,-0.12267347882141005,-0.06377631748162409,0.3496246406817211,0.1615029088102122,0.033962105729199284,0,0
0.78,0.0,0.0,0.0,-0.04745345092071751,-0.033332673445705716,-0.18117609900865028,0.16466907948843304,0.04212003391346582,0,0
