checkpoint_steps,command_vx,mean_actual_vx,mae,rmse,resets
1000000,0.2,0.2653529948675864,0.08880098257375134,0.1119994076942801,0
1000000,0.4,0.3184279572085635,0.12486965030321256,0.19739838574421628,7
1000000,0.6,0.3220312592802637,0.2891224814680713,0.4141982822136357,20
2000000,0.2,0.2803009209259383,0.09135708547156396,0.11097953551628066,0
2000000,0.4,0.43527963100820966,0.0648120206590189,0.08211368947255719,0
2000000,0.6,0.3039970651337396,0.2973444623673162,0.37500041066645357,12
3000000,0.2,0.277552328809129,0.08959387518009952,0.10738617042472948,0
3000000,0.4,0.2576691556122818,0.1880504591729754,0.2772618011621808,16
3000000,0.6,0.2845908797808922,0.3242510352250885,0.4316327564652481,21
4000000,0.2,0.2731184859288993,0.08900590679198947,0.10647390285016897,0
4000000,0.4,0.2866186212369499,0.19103089453327737,0.26595934803457894,16
4000000,0.6,0.4622927154263922,0.14455701225245726,0.1847113625683112,2
5000000,0.2,0.25149864490179213,0.07941870622664177,0.09673420683320168,0
5000000,0.4,0.3816885837471764,0.07057298822034015,0.0856336573735239,0
5000000,0.6,0.2739326695262367,0.3260673304737633,0.4105481896416691,18
6000000,0.2,0.238774730764448,0.07548910204702232,0.09133281998414342,0
6000000,0.4,0.38350068313259167,0.06506646279330396,0.08103968158752742,0
6000000,0.6,0.47069249901510507,0.13316703747677738,0.1544681706681968,0
7000000,0.2,0.23567158572688518,0.07165769650142789,0.0860070201698474,0
7000000,0.4,0.3914881869571857,0.06807617554921627,0.0846748355671567,0
7000000,0.6,0.49259730064468443,0.11413781148138452,0.13470737186705736,0
8000000,0.2,0.22787582940158294,0.06795542786464409,0.08562440001203528,0
8000000,0.4,0.43155701719104944,0.062295940334400085,0.07763437171902375,0
8000000,0.6,0.5536989608149403,0.07813885786989794,0.09566240927138867,0
