time_s,command_vx,command_vy,command_wz,actual_vx,actual_vy,actual_wz,base_z,reward,terminated,episode
0.0,0.0,0.0,0.0,-0.0017328106631928687,0.0044431708323115,-0.1649336431606126,0.2776846922408919,0.0,0,0
0.02,0.0,0.0,0.0,-0.06060312528821026,-0.013444565235974747,0.26418189734334935,0.271633552639682,0.0,0,0
0.04,0.0,0.0,0.0,-0.05721563816185202,-0.021888867067599394,0.23712377674772536,0.26179628786622644,0.0,0,0
0.06,0.0,0.0,0.0,0.007704549164890075,-0.015396581535341979,-0.23667291322088402,0.24750817697458546,0.0,0,0
0.08,0.0,0.0,0.0,-0.04562739741355088,-0.013210536201247135,-0.24927068121900578,0.22968507685645898,0.0,0,0
0.1,0.0,0.0,0.0,0.030582014462853184,-0.008003740002531535,-0.4574202283287863,0.20737412819892506,0.0,0,0
0.12,0.0,0.0,0.0,-0.03715694672417517,-0.0121210669712862,0.258856272528915,0.18133622466531665,0.0,0,0
0.14,0.0,0.0,0.0,-0.181068936953947,-0.0841335839603297,1.3800627777318981,0.15601424861437346,0.0,0,0
0.16,0.0,0.0,0.0,-0.0443283143991091,-0.05993172778572595,1.0216127009031617,0.14933690004312755,0.0,0,0
0.18,0.0,0.0,0.0,0.18789065517211817,0.007716904760973651,-1.2003666022055957,0.15393702725220162,0.0,0,0
0.2,0.0,0.0,0.0,0.09126499297777323,0.06627664864744733,0.759040688489036,0.16079103019512947,0.0,0,0
0.22,0.0,0.0,0.0,0.11449938592136152,0.03521239667954044,-0.7498796439856888,0.1645185493580312,0.0,0,0
0.24,0.0,0.0,0.0,0.005194869667913465,0.03204380187417858,-0.4010671129206096,0.16622516635524912,0.0,0,0
0.26,0.0,0.0,0.0,0.03290462689493209,0.0026592257377477816,-0.4586692215620564,0.16704408892408817,0.0,0,0
0.28,0.0,0.0,0.0,0.014183524552126953,-0.014652572729812928,-0.17360113732157856,0.16763839287300286,0.0,0,0
0.3,0.0,0.0,0.0,-0.05756889989542065,-0.03471683559330915,-0.02516335608087285,0.16892627140743832,0.0,0,0
0.32,0.0,0.0,0.0,-0.10004072702923578,-0.020870833461081123,0.6409302856762096,0.16939827787621686,0.0,0,0
0.34,0.0,0.0,0.0,-0.01938090870845937,-0.023523672887799767,0.1993039414693412,0.16671291189879622,0.0,0,0
0.36,0.0,0.0,0.0,-0.012767532429814299,0.07542816378536717,-0.2473814161752564,0.1659863258105329,0.0,0,0
0.38,0.0,0.0,0.0,0.11417634136011394,0.11300944877317395,-0.05099164235292462,0.16588921516181865,0.0,0,0
