checkpoint_steps,gait,mean_actual_vx,velocity_mae,contact_match,resets
500000,walk,0.46838245882946516,0.09522761712513089,0.4542857142857143,0
500000,trot,0.4823779107837072,0.10869240418145133,0.5071428571428571,0
500000,pace,0.43731495737838366,0.1045291624018941,0.5128571428571429,1
1000000,walk,0.45142344258168254,0.09847619607070292,0.4592857142857143,0
1000000,trot,0.4401010724343672,0.08823230731523585,0.49785714285714283,0
1000000,pace,0.445805560184814,0.08667230835386854,0.5007142857142857,0
1500000,walk,0.44639770183913813,0.1346974505369459,0.48214285714285715,2
1500000,trot,0.45469057391986806,0.10021300758004865,0.4957142857142857,1
1500000,pace,0.4183460528159584,0.0682967136940076,0.5192857142857142,0
2000000,walk,0.43947276556615084,0.08582224529304239,0.46214285714285713,0
2000000,trot,0.4273014216925149,0.08690820601972762,0.5107142857142857,0
2000000,pace,0.44535155746920785,0.1202667694698242,0.5142857142857142,2
2500000,walk,0.38408489640050575,0.05770905143633371,0.4614285714285714,0
2500000,trot,0.3795791826449314,0.09433851709009587,0.5064285714285715,1
2500000,pace,0.40222380842921485,0.06939061713789142,0.5014285714285714,0
3000000,walk,0.40939319899883103,0.07369749547349526,0.45714285714285713,0
3000000,trot,0.37801114687845694,0.06862220548563708,0.4907142857142857,0
3000000,pace,0.3957557595450078,0.09836079483368615,0.495,1
3500000,walk,0.4113773740956882,0.08199491528278645,0.4664285714285714,0
3500000,trot,0.3641007014323183,0.09597907259959187,0.5107142857142857,2
3500000,pace,0.34010609585093327,0.08240794821054492,0.5035714285714286,0
4000000,walk,0.3487878843157993,0.08742353426314739,0.4514285714285714,0
4000000,trot,0.37405451341886653,0.11480375029612706,0.5028571428571429,3
4000000,pace,0.36870424053302925,0.10277898227489747,0.515,2
4500000,walk,0.3583493987044585,0.07594428357580486,0.455,0
4500000,trot,0.359512015717105,0.07734361521504367,0.5014285714285714,0
4500000,pace,0.41501312174957566,0.07614610277865189,0.4992857142857143,0
5000000,walk,0.37041961537246637,0.0758369204134638,0.45,0
5000000,trot,0.34203591269052724,0.08069502035081944,0.49642857142857144,0
5000000,pace,0.3379723110829217,0.1291131399885277,0.51,2
