time_s,gait,phase,command_vx,actual_vx,contact_match,reward,terminated
0.0,walk,0.0,0.4,0.11846087832365194,0.25,0.03683008713279341,0
0.02,walk,0.022222222222222223,0.4,-0.03941141378025244,0.25,0.02396021568664072,0
0.04,walk,0.044444444444444446,0.4,0.036618025460096695,0.25,0.03126854579497357,0
0.06,walk,0.06666666666666667,0.4,-0.08506140259339748,0.25,0.024289490611473275,0
0.08,walk,0.08888888888888889,0.4,-0.1585026151768422,0.25,0.01794604397243745,0
0.1,walk,0.11111111111111112,0.4,-0.014127686783977168,0.25,0.027547491350496216,0
0.12000000000000001,walk,0.13333333333333333,0.4,-0.09821226420557731,0.25,0.024594430943555956,0
0.14,walk,0.15555555555555556,0.4,-0.009805886775842076,0.75,0.026688471432733337,0
0.16,walk,0.17777777777777778,0.4,0.14453293123061164,0.75,0.04380798690408697,0
0.18,walk,0.2,0.4,0.17785646731342594,0.75,0.0419708874533362,0
0.19999999999999998,walk,0.22222222222222224,0.4,0.2804471331712039,0.75,0.043838023425194134,0
0.21999999999999997,walk,0.24444444444444446,0.4,0.342674092377766,0.25,0.04258175815201027,0
0.23999999999999996,walk,0.26666666666666666,0.4,0.3753806965689444,0.5,0.046446678295413484,0
0.25999999999999995,walk,0.28888888888888886,0.4,0.4987763899409045,0.25,0.03525604547918992,0
0.27999999999999997,walk,0.31111111111111106,0.4,0.513883189305682,0.25,0.03390254060992532,0
0.3,walk,0.33333333333333326,0.4,0.3749643568346345,0.5,0.04684771637710215,0
0.32,walk,0.35555555555555546,0.4,0.3504651773928158,0.75,0.03481542368818882,0
0.34,walk,0.37777777777777766,0.4,0.36413415895190243,0.75,0.038628076131364736,0
0.36000000000000004,walk,0.39999999999999986,0.4,0.4092972963740888,0.5,0.042181218352480655,0
0.38000000000000006,walk,0.42222222222222205,0.4,0.5028417834466623,0.25,0.0429929203078873,0
0.4000000000000001,walk,0.44444444444444425,0.4,0.5041837496988012,0.0,0.04148439082129677,0
0.4200000000000001,walk,0.46666666666666645,0.4,0.3619769798675804,0.5,0.04054311532602939,0
0.4400000000000001,walk,0.48888888888888865,0.4,0.3735149137278332,0.75,0.04314731950622969,0
0.46000000000000013,walk,0.5111111111111108,0.4,0.32106752840429603,0.25,0.02888864470979892,0
0.48000000000000015,walk,0.5333333333333331,0.4,0.37317620695911086,0.5,0.03385351471598938,0
0.5000000000000001,walk,0.5555555555555554,0.4,0.4299369718079168,0.5,0.04457299410225881,0
0.5200000000000001,walk,0.5777777777777776,0.4,0.49323172217277544,0.5,0.039713903451861134,0
0.5400000000000001,walk,0.5999999999999999,0.4,0.3878705881132005,0.25,0.0399999761549333,0
0.5600000000000002,walk,0.6222222222222221,0.4,0.42011940493372835,0.25,0.03494364262261859,0
0.5800000000000002,walk,0.6444444444444444,0.4,0.2733708874026073,0.5,0.03735639559147717,0
0.6000000000000002,walk,0.6666666666666666,0.4,0.31384161938279537,0.5,0.04584623910751521,0
0.6200000000000002,walk,0.6888888888888889,0.4,0.38916067683358274,0.75,0.046650068543476586,0
0.6400000000000002,walk,0.7111111111111111,0.4,0.3911255418843786,0.75,0.03383608415863364,0
0.6600000000000003,walk,0.7333333333333334,0.4,0.36150048077267743,0.5,0.030562110263225434,0
0.6800000000000003,walk,0.7555555555555556,0.4,0.3939937082601925,0.5,0.04256457557034891,0
0.7000000000000003,walk,0.7777777777777779,0.4,0.31089080130305463,1.0,0.04757104148924334,0
0.7200000000000003,walk,0.8000000000000002,0.4,0.36124386964994176,0.75,0.04954522611769474,0
0.7400000000000003,walk,0.8222222222222224,0.4,0.480853611555479,0.75,0.03579772300765794,0
0.7600000000000003,walk,0.8444444444444447,0.4,0.4757188384975653,0.25,0.036933377061160726,0
0.7800000000000004,walk,0.8666666666666669,0.4,0.3548669766374017,0.0,0.04117969205730382,0
0.8000000000000004,walk,0.8888888888888892,0.4,0.35144999119766446,0.25,0.029609365052070423,0
0.8200000000000004,walk,0.9111111111111114,0.4,0.312238058721607,0.75,0.030967075144506365,0
0.8400000000000004,walk,0.9333333333333337,0.4,0.336631419135246,0.75,0.03469263616025184,0
0.8600000000000004,walk,0.9555555555555559,0.4,0.45138886583452636,0.75,0.03366528645338545,0
0.8800000000000004,walk,0.9777777777777782,0.4,0.444899011619153,0.5,0.03532061100217889,0
0.9000000000000005,walk,4.440892098500626e-16,0.4,0.3146951824953434,0.5,0.04588937018661271,0
0.9200000000000005,walk,0.022222222222222667,0.4,0.3083365754517718,0.5,0.03132866603235979,0
0.9400000000000005,walk,0.04444444444444489,0.4,0.24293132075953755,0.25,0.025380510835652462,0
0.9600000000000005,walk,0.06666666666666711,0.4,0.2892903559572612,0.0,0.028895008637638293,0
0.9800000000000005,walk,0.08888888888888934,0.4,0.3007508414401473,0.25,0.027216308571439134,0
1.0000000000000004,walk,0.11111111111111156,0.4,0.30822463340715256,0.5,0.04269546363681944,0
1.0200000000000005,walk,0.13333333333333378,0.4,0.23812291324784707,0.5,0.03859452343821356,0
1.0400000000000005,walk,0.155555555555556,0.4,0.29308495107789173,0.75,0.047232507020756376,0
1.0600000000000005,walk,0.17777777777777823,0.4,0.2618067641097413,0.25,0.04101819347706028,0
1.0800000000000005,walk,0.20000000000000046,0.4,0.29911663464060484,0.0,0.03938210220613391,0
1.1000000000000005,walk,0.22222222222222268,0.4,0.3484439691668926,0.25,0.0401524333473196,0
1.1200000000000006,walk,0.2444444444444449,0.4,0.4241178219260296,0.5,0.04831441012117873,0
1.1400000000000006,walk,0.2666666666666671,0.4,0.3293169691488018,0.25,0.03556631751556297,0
1.1600000000000006,walk,0.2888888888888893,0.4,0.4141398745969314,0.75,0.03983314677942858,0
1.1800000000000006,walk,0.3111111111111115,0.4,0.2528551824988582,1.0,0.035018101671884135,0
1.2000000000000006,walk,0.3333333333333337,0.4,0.29090083036769376,0.5,0.038129018266145204,0
1.2200000000000006,walk,0.3555555555555559,0.4,0.37032323608029033,0.5,0.04501077933537842,0
1.2400000000000007,walk,0.3777777777777781,0.4,0.3827909052752437,0.0,0.027553945359205266,0
1.2600000000000007,walk,0.4000000000000003,0.4,0.2398023825125171,0.25,0.03733619372041643,0
1.2800000000000007,walk,0.4222222222222225,0.4,0.3151348645629191,0.75,0.046174923907109804,0
1.3000000000000007,walk,0.4444444444444447,0.4,0.177580906215991,0.75,0.04305750461302145,0
1.3200000000000007,walk,0.4666666666666669,0.4,0.22007898864736744,0.25,0.0378302849365506,0
1.3400000000000007,walk,0.4888888888888891,0.4,0.3438256217324932,0.25,0.03418346453723996,0
1.3600000000000008,walk,0.5111111111111113,0.4,0.3136691697927993,0.75,0.033129424632459104,0
1.3800000000000008,walk,0.5333333333333335,0.4,0.20655902033025048,0.5,0.03870424051673705,0
1.4000000000000008,walk,0.5555555555555558,0.4,0.26389404452672477,0.0,0.03970168289877226,0
1.4200000000000008,walk,0.5777777777777781,0.4,0.18167981519878534,0.25,0.02529063225871317,0
