tag,step,wall_time,value
rollout/ep_len_mean,32768,1786510834.059350,948.6060791
rollout/ep_len_mean,65536,1786510839.229476,935.9393921
rollout/ep_len_mean,98304,1786510844.547757,927.4799805
rollout/ep_len_mean,131072,1786510849.913132,925.7700195
rollout/ep_len_mean,163840,1786510855.335595,922.7000122
rollout/ep_len_mean,196608,1786510860.605449,894.7199707
rollout/ep_len_mean,229376,1786510865.941833,901.5700073
rollout/ep_len_mean,262144,1786510871.198126,887.3400269
rollout/ep_len_mean,294912,1786510876.399134,899.5800171
rollout/ep_len_mean,327680,1786510881.626555,880.7800293
rollout/ep_len_mean,360448,1786510886.893260,879.1199951
rollout/ep_len_mean,393216,1786510892.131437,886.2999878
rollout/ep_len_mean,425984,1786510897.398327,882.9699707
rollout/ep_len_mean,458752,1786510902.696489,918.2000122
rollout/ep_len_mean,491520,1786510908.024148,908.6099854
rollout/ep_len_mean,524288,1786510913.321422,896.8300171
rollout/ep_len_mean,557056,1786510918.655843,867.9500122
rollout/ep_len_mean,589824,1786510923.936803,845.6500244
rollout/ep_len_mean,622592,1786510929.278245,854.4199829
rollout/ep_len_mean,655360,1786510934.700538,856.2999878
rollout/ep_len_mean,688128,1786510940.019046,877.7800293
rollout/ep_len_mean,720896,1786510945.439177,886.5999756
rollout/ep_len_mean,753664,1786510950.948048,902.7800293
rollout/ep_len_mean,786432,1786510956.339911,884.6799927
rollout/ep_len_mean,819200,1786510961.772064,925.460022
rollout/ep_len_mean,851968,1786510967.042812,930.9799805
rollout/ep_len_mean,884736,1786510972.282110,934.5999756
rollout/ep_len_mean,917504,1786510977.605523,924.7399902
rollout/ep_len_mean,950272,1786510982.911689,931.4099731
rollout/ep_len_mean,983040,1786510988.236481,931.5700073
rollout/ep_len_mean,1015808,1786510993.532018,890.4899902
rollout/ep_len_mean,1048576,1786510998.774101,878.6400146
rollout/ep_len_mean,1081344,1786511004.084534,935.2000122
rollout/ep_len_mean,1114112,1786511009.267282,926.5800171
rollout/ep_len_mean,1146880,1786511014.492201,925.6099854
rollout/ep_len_mean,1179648,1786511019.720999,922.5300293
rollout/ep_len_mean,1212416,1786511025.405640,893.6900024
rollout/ep_len_mean,1245184,1786511031.217406,907.4299927
rollout/ep_len_mean,1277952,1786511037.450950,917.5900269
rollout/ep_len_mean,1310720,1786511043.257650,920.1400146
rollout/ep_len_mean,1343488,1786511049.059790,924.039978
rollout/ep_len_mean,1376256,1786511055.117853,920.4500122
rollout/ep_len_mean,1409024,1786511060.892229,896.0100098
rollout/ep_len_mean,1441792,1786511066.780315,880.4899902
rollout/ep_len_mean,1474560,1786511072.708220,861.3200073
rollout/ep_len_mean,1507328,1786511078.464561,895.7600098
rollout/ep_len_mean,1540096,1786511084.764454,887
rollout/ep_len_mean,1572864,1786511090.625939,912.1500244
rollout/ep_len_mean,1605632,1786511096.244984,908.8900146
rollout/ep_len_mean,1638400,1786511101.748729,906.3200073
rollout/ep_len_mean,1671168,1786511107.081892,903.039978
rollout/ep_len_mean,1703936,1786511113.774119,892.2999878
rollout/ep_len_mean,1736704,1786511119.186264,909.3400269
rollout/ep_len_mean,1769472,1786511124.530936,921.289978
rollout/ep_len_mean,1802240,1786511129.894744,903.5200195
rollout/ep_len_mean,1835008,1786511135.671273,868.2600098
rollout/ep_len_mean,1867776,1786511141.417436,867.6400146
rollout/ep_len_mean,1900544,1786511146.945007,865.1599731
rollout/ep_len_mean,1933312,1786511152.460431,896.4799805
rollout/ep_len_mean,1966080,1786511157.906905,903.710022
rollout/ep_len_mean,1998848,1786511163.317125,940.9799805
rollout/ep_len_mean,2031616,1786511170.660979,931.960022
rollout/ep_len_mean,2064384,1786511176.266276,934.0800171
rollout/ep_len_mean,2097152,1786511181.579390,936.6099854
rollout/ep_len_mean,2129920,1786511186.842544,928.5999756
rollout/ep_len_mean,2162688,1786511192.254210,921.4400024
rollout/ep_len_mean,2195456,1786511197.702368,891.7399902
rollout/ep_len_mean,2228224,1786511203.172315,885.3099976
rollout/ep_len_mean,2260992,1786511208.527918,872.9799805
rollout/ep_len_mean,2293760,1786511213.919039,893.25
rollout/ep_len_mean,2326528,1786511219.341161,844.7800293
rollout/ep_len_mean,2359296,1786511224.878517,788.1900024
rollout/ep_len_mean,2392064,1786511230.352135,835.1699829
rollout/ep_len_mean,2424832,1786511235.762633,882.9799805
rollout/ep_len_mean,2457600,1786511241.174220,912.7700195
rollout/ep_len_mean,2490368,1786511246.561604,880.7199707
rollout/ep_len_mean,2523136,1786511252.529388,882.9500122
rollout/ep_len_mean,2555904,1786511259.756876,880.25
rollout/ep_len_mean,2588672,1786511265.270747,894.9000244
rollout/ep_len_mean,2621440,1786511270.570801,914.6599731
rollout/ep_len_mean,2654208,1786511275.922075,920.4799805
rollout/ep_len_mean,2686976,1786511281.351643,909.039978
rollout/ep_len_mean,2719744,1786511286.793027,909.960022
rollout/ep_len_mean,2752512,1786511292.267984,906.0499878
rollout/ep_len_mean,2785280,1786511297.628352,919.3900146
rollout/ep_len_mean,2818048,1786511303.157447,901.960022
rollout/ep_len_mean,2850816,1786511308.580099,882.9199829
rollout/ep_len_mean,2883584,1786511314.158262,880.7399902
rollout/ep_len_mean,2916352,1786511319.943479,883.8900146
rollout/ep_len_mean,2949120,1786511327.193302,898.7199707
rollout/ep_len_mean,2981888,1786511334.780847,889.9699707
rollout/ep_len_mean,3014656,1786511340.354933,921.5999756
rollout/ep_len_mean,3047424,1786511345.492077,926.039978
rollout/ep_len_mean,3080192,1786511350.663745,907.0200195
rollout/ep_len_mean,3112960,1786511355.837797,899.7700195
rollout/ep_len_mean,3145728,1786511360.976279,902.4299927
rollout/ep_len_mean,3178496,1786511366.234299,929.3599854
rollout/ep_len_mean,3211264,1786511371.514723,931.1199951
rollout/ep_len_mean,3244032,1786511376.685446,934.1500244
rollout/ep_len_mean,3276800,1786511381.892328,919.6699829
rollout/ep_len_mean,3309568,1786511387.052455,935.5300293
rollout/ep_len_mean,3342336,1786511392.271278,909.789978
rollout/ep_len_mean,3375104,1786511397.562475,882.9000244
rollout/ep_len_mean,3407872,1786511403.828829,876.8599854
rollout/ep_len_mean,3440640,1786511411.727149,893.0700073
rollout/ep_len_mean,3473408,1786511417.005731,880.2800293
rollout/ep_len_mean,3506176,1786511422.274369,855.7600098
rollout/ep_len_mean,3538944,1786511427.352949,909.289978
rollout/ep_len_mean,3571712,1786511432.372141,882.7800293
rollout/ep_len_mean,3604480,1786511437.415017,901.5100098
rollout/ep_len_mean,3637248,1786511442.507750,888.9299927
rollout/ep_len_mean,3670016,1786511447.625827,884.7800293
rollout/ep_len_mean,3702784,1786511452.735725,847.0700073
rollout/ep_len_mean,3735552,1786511457.873610,852.8200073
rollout/ep_len_mean,3768320,1786511463.102823,855.0100098
rollout/ep_len_mean,3801088,1786511468.236538,870.789978
rollout/ep_len_mean,3833856,1786511473.380078,886.6799927
rollout/ep_len_mean,3866624,1786511478.474690,893.7000122
rollout/ep_len_mean,3899392,1786511483.596549,903.8599854
rollout/ep_len_mean,3932160,1786511488.693646,881.8300171
rollout/ep_len_mean,3964928,1786511493.837785,895.1199951
rollout/ep_len_mean,3997696,1786511498.945000,886.9000244
rollout/ep_len_mean,4030464,1786511504.087915,869.3300171
rollout/ep_len_mean,4063232,1786511509.193914,856.0100098
rollout/ep_len_mean,4096000,1786511514.356364,859.5499878
rollout/ep_len_mean,4128768,1786511519.473857,891.1799927
rollout/ep_len_mean,4161536,1786511524.623657,885.289978
rollout/ep_len_mean,4194304,1786511529.732218,882.1199951
rollout/ep_len_mean,4227072,1786511534.876014,874.0700073
rollout/ep_len_mean,4259840,1786511539.981195,881.9099731
rollout/ep_len_mean,4292608,1786511545.122157,904.1300049
rollout/ep_len_mean,4325376,1786511550.385116,874.1099854
rollout/ep_len_mean,4358144,1786511555.752369,862.1699829
rollout/ep_len_mean,4390912,1786511560.884216,856.2999878
rollout/ep_len_mean,4423680,1786511566.183038,875.6400146
rollout/ep_len_mean,4456448,1786511571.459676,866.2999878
rollout/ep_len_mean,4489216,1786511576.700146,865.2999878
rollout/ep_len_mean,4521984,1786511581.943166,848.5900269
rollout/ep_len_mean,4554752,1786511587.144677,864.0800171
rollout/ep_len_mean,4587520,1786511592.416173,866.0900269
rollout/ep_len_mean,4620288,1786511597.577183,891.6400146
rollout/ep_len_mean,4653056,1786511602.669574,879.1599731
rollout/ep_len_mean,4685824,1786511607.668260,847.8800049
rollout/ep_len_mean,4718592,1786511612.698311,847.9899902
rollout/ep_len_mean,4751360,1786511617.706174,849.3200073
rollout/ep_len_mean,4784128,1786511622.750354,867.7000122
rollout/ep_len_mean,4816896,1786511627.755237,855.5200195
rollout/ep_len_mean,4849664,1786511632.795228,827.1500244
rollout/ep_len_mean,4882432,1786511637.808691,833.1199951
rollout/ep_len_mean,4915200,1786511642.842313,853.6199951
rollout/ep_len_mean,4947968,1786511647.836885,881
rollout/ep_len_mean,4980736,1786511652.861671,871.8800049
rollout/ep_len_mean,5013504,1786511657.865533,866.1500244
rollout/ep_len_mean,5046272,1786511663.013459,819.8499756
rollout/ep_len_mean,5079040,1786511668.221152,861.0300293
rollout/ep_len_mean,5111808,1786511673.357866,874.8200073
rollout/ep_len_mean,5144576,1786511678.456530,881.5700073
rollout/ep_len_mean,5177344,1786511683.593180,841.3499756
rollout/ep_len_mean,5210112,1786511688.690979,836.8400269
rollout/ep_len_mean,5242880,1786511693.815205,856.6900024
rollout/ep_len_mean,5275648,1786511698.918760,841.5200195
rollout/ep_len_mean,5308416,1786511704.081106,858.1099854
rollout/ep_len_mean,5341184,1786511709.182180,872.2399902
rollout/ep_len_mean,5373952,1786511714.331015,863.5
rollout/ep_len_mean,5406720,1786511719.432663,872.710022
rollout/ep_len_mean,5439488,1786511724.615817,879.7800293
rollout/ep_len_mean,5472256,1786511729.735170,912.2000122
rollout/ep_len_mean,5505024,1786511735.002383,857.7000122
rollout/ep_len_mean,5537792,1786511740.246126,852.3099976
rollout/ep_len_mean,5570560,1786511745.440187,889.75
rollout/ep_len_mean,5603328,1786511750.539114,910.4400024
rollout/ep_len_mean,5636096,1786511755.803398,903.789978
rollout/ep_len_mean,5668864,1786511760.935033,872.4699707
rollout/ep_len_mean,5701632,1786511766.087392,891.4299927
rollout/ep_len_mean,5734400,1786511771.195176,881.9299927
rollout/ep_len_mean,5767168,1786511776.315232,869.039978
rollout/ep_len_mean,5799936,1786511781.431306,886.3300171
rollout/ep_len_mean,5832704,1786511786.546092,887.210022
rollout/ep_len_mean,5865472,1786511791.671231,894.0300293
rollout/ep_len_mean,5898240,1786511796.848087,896.9799805
rollout/ep_len_mean,5931008,1786511801.994034,920.4099731
rollout/ep_len_mean,5963776,1786511807.103564,926.9099731
rollout/ep_len_mean,5996544,1786511812.259919,926.0300293
rollout/ep_len_mean,6029312,1786511817.363498,931.9500122
rollout/ep_len_mean,6062080,1786511822.508051,924.8699951
rollout/ep_len_mean,6094848,1786511827.614377,891.7600098
rollout/ep_len_mean,6127616,1786511832.767222,876.539978
rollout/ep_len_mean,6160384,1786511837.860527,891.3099976
