time_s,command_vx,command_vy,command_wz,actual_vx,actual_vy,actual_wz,base_z,reward,terminated,episode
0.0,0.0,0.0,0.0,0.008612942340034952,0.025205650309450742,-0.05932262961175359,0.27741341773403855,0.0,0,0
0.02,0.0,0.0,0.0,-0.002880972536121708,0.016337197919339738,-0.16323365083642602,0.271171896365666,0.0,0,0
0.04,0.0,0.0,0.0,0.009635756829612019,0.013239821082310994,-0.15904240394099084,0.2605917088739844,0.0,0,0
0.06,0.0,0.0,0.0,-0.04110574271434061,0.028561577894804575,-0.3684167301418555,0.24665703888748153,0.0,0,0
0.08,0.0,0.0,0.0,-0.005653312914052003,-0.013793201006931016,0.0918851780406886,0.22824894136843396,0.0,0,0
0.1,0.0,0.0,0.0,-0.06393064596749859,0.004949805815764034,-0.23150010123016265,0.20673322754389623,0.0,0,0
0.12,0.0,0.0,0.0,-0.002791625858561667,-0.017468821159186184,0.1737707345404398,0.1807328104393257,0.0,0,0
0.14,0.0,0.0,0.0,0.06508669414480626,0.037196066637151706,0.3435967871878457,0.15291159136546725,0.0,0,0
0.16,0.0,0.0,0.0,0.06455168301633286,0.07170118930803841,-0.17148842519986005,0.14225007521742694,0.0,0,0
0.18,0.0,0.0,0.0,0.06362910457146104,0.06198703390265417,0.07548128244525017,0.14397922098449525,0.0,0,0
0.2,0.0,0.0,0.0,-0.00777543111966056,0.15206539891758983,0.6073465037266389,0.14896680932562376,0.0,0,0
0.22,0.0,0.0,0.0,-0.029207161658432616,0.07274863603349431,0.3798370986157325,0.1527159488353643,0.0,0,0
0.24,0.0,0.0,0.0,-0.061433579053559235,0.08022401348869579,0.5351869310228431,0.15354933761371103,0.0,0,0
0.26,0.0,0.0,0.0,-0.07913089132455024,-0.02145913060492722,-0.013207818691180854,0.15379262111191286,0.0,0,0
0.28,0.0,0.0,0.0,-0.03783107789310691,-0.06380335760130791,0.13588577822984194,0.1544283920378136,0.0,0,0
0.3,0.0,0.0,0.0,0.05337933228524785,-0.10705988159840567,-0.3349895133605917,0.1560083054751965,0.0,0,0
0.32,0.0,0.0,0.0,0.0012410790534513945,-0.0431741293783738,-0.0841346474809507,0.15749011718763065,0.0,0,0
0.34,0.0,0.0,0.0,-0.06280941206852135,-0.039711530121452954,-0.5889689540024754,0.1596331535821909,0.0,0,0
0.36,0.0,0.0,0.0,-0.015304182687506801,0.01644393156264571,0.18640034704300756,0.16096049306730967,0.0,0,0
