checkpoint_steps,command_vx,mean_actual_vx,mae,rmse,resets
1000000,0.2,0.17592963830384306,0.06013392943544135,0.0750337505564347,0
1000000,0.4,0.3353317074261083,0.09001396466367083,0.10898447790950916,0
1000000,0.6,0.4736255341141186,0.12791518242488484,0.1478366911991421,0
2000000,0.2,0.15897249267168717,0.06536906431906625,0.07962249954793757,0
2000000,0.4,0.3065147195986436,0.10471640356150679,0.12420032296877609,0
2000000,0.6,0.4838269231127762,0.12098463000137122,0.14020354978148614,0
3000000,0.2,0.15886637287850996,0.076289567686446,0.09101913063218894,0
3000000,0.4,0.3169703147285017,0.0972900910265655,0.11612253270321052,0
3000000,0.6,0.3160047437640234,0.28407962106785223,0.3531454025201042,12
4000000,0.2,0.16091932083345434,0.0736454166599126,0.08920370742524919,0
4000000,0.4,0.3424844632606027,0.086058852414045,0.10477899493509704,0
4000000,0.6,0.24193011088240776,0.3580698891175922,0.43485228406502535,21
5000000,0.2,0.16246004155942134,0.07597611575813441,0.09128091137985572,0
5000000,0.4,0.33452165356720187,0.0862913036799326,0.10281458152382389,0
5000000,0.6,0.47665685464520113,0.12456525687605748,0.14076069592786022,0
6000000,0.2,0.16074609272523901,0.0796166586028278,0.09212831575211974,0
6000000,0.4,0.3210956058490973,0.09649961561685193,0.11613420330871,0
6000000,0.6,0.5008757786456655,0.10301393812866924,0.11679318888137907,0
7000000,0.2,0.1650486813251399,0.08007345099758155,0.09322332747219729,0
7000000,0.4,0.3270194377919854,0.08617187293543987,0.10558729664725712,0
7000000,0.6,0.4772194042436819,0.12309431579732756,0.14156576727987055,0
8000000,0.2,0.164164733514327,0.06629054332651603,0.08161128268530575,0
8000000,0.4,0.3304070762594126,0.08067410178002252,0.10192868048804488,0
8000000,0.6,0.501992631002799,0.10305708793185216,0.12165202527387346,0
